| Macro Factor Category      | Specific Factor                           | Business Justification                                        | Possible Data Source              | Priority |
|----------------------------|-------------------------------------------|---------------------------------------------------------------|----------------------------------|----------|
| Construction Activity      | Construction Spending Index               | High construction demand drives used equipment demand/prices   | [US Census Bureau](https://www.census.gov/construction/c30/data/econ/currentdata/dbsearch?programCode=VIP&startYear=2002&endYear=2025&categories[]=AXXXX&dataType=T&geoLevel=US&adjusted=1&notAdjusted=0&errorData=0)                   | Very High |
|                            | Housing Starts / Building Permits         | Proxy for earth-moving equipment demand                        | [Housing Start](https://www.census.gov/econ/currentdata/?programCode=RESCONST&startYear=1959&endYear=2025&categories[]=APERMITS&dataType=TOTAL&geoLevel=US&adjusted=1&notAdjusted=0&errorData=0) [Building Permits](https://www.census.gov/econ/currentdata/?programCode=RESCONST&startYear=1988&endYear=2013&categories[]=STARTS&dataType=TOTAL&geoLevel=US&adjusted=0&notAdjusted=1&errorData=0)                  | Very High |
|                            | Infrastructure Spending (Public Projects) | Public spending increases equipment demand                     | [Government reports, news scraping](https://www.census.gov/construction/c30/data/econ/currentdata/dbsearch?programCode=VIP&startYear=2002&endYear=2025&categories[]=AXXXX&dataType=T&geoLevel=US&adjusted=1&notAdjusted=0&errorData=0)  | Very High |
| Commodity Prices           | Oil Prices (WTI Crude)                    | Operating cost driver → impacts equipment demand and usage      | https://www.eia.gov/dnav/pet/hist/RWTCD.htm                        | High     |
|                            | Copper Prices                            | Mining activity driver → impacts demand for certain equipment   | https://fred.stlouisfed.org/series/PCOPPUSDM                        | High     |
|                            | Steel Prices                             | Replacement equipment costs → affects auction price dynamics    | https://fred.stlouisfed.org/series/WPU101                        | High     |
| Economic Health Indicators | GDP Growth Rate                          | Expansion drives capital investments → used equipment demand    | https://fred.stlouisfed.org/series/GDPC1                          | Medium-High |
|                            | Unemployment Rate                         | Proxy for overall economic confidence                          | https://www.bls.gov/cps/cpsaat01.htm                               | Medium-High |
|                            | Business Confidence Index                 | Affects purchasing behavior in B2B markets                      | [OECD](https://www.oecd.org/en/data/indicators/business-confidence-index-bci.html?oecdcontrol-b2a0dbca4d-var3=1985-10&oecdcontrol-b2a0dbca4d-var4=2014-07)                               | Medium-High |
| Financial Factors          | Interest Rates (Fed Funds Rate)           | Affects borrowing costs → impacts ability to finance equipment  | https://fred.stlouisfed.org/series/FEDFUNDS                               | Medium   |
|                            | Exchange Rates (USD)                      | Drives export demand for US-based equipment                     | https://fred.stlouisfed.org/series/TWEXM                      | Medium   |
| Market-Specific Signals    | Auction Volume (if available)             | High volume → downward price pressure → supply-demand signal    | [Auction house reports](https://fiscaldata.treasury.gov/datasets/treasury-securities-auctions-data/treasury-securities-auctions-data)              | High     |
|                            | Dealer Inventory Levels (if available)    | High dealer inventory → discounting pressure → auction prices   | https://fred.stlouisfed.org/series/U33CTI | High     |
