CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price per $100,Download PDF - Announcement,Download PDF - Competitive Results,Download PDF - Noncompetitive Results,Download XML - Announcement,Download XML - Competitive Results
912797QA8,Bill,4-Week,2025-06-12,2025-06-17,2025-07-15,,A_20250610_3.pdf,,,A_20250610_3.xml,
912797QJ9,Bill,8-Week,2025-06-12,2025-06-17,2025-08-12,,A_20250610_2.pdf,,,A_20250610_2.xml,
912810UK2,Bond,29-Year 11-Month,2025-06-12,2025-06-16,2055-05-15,,A_20250605_4.pdf,,,A_20250605_4.xml,
912797RC3,Bill,17-Week,2025-06-11,2025-06-17,2025-10-14,,A_20250610_1.pdf,,,A_20250610_1.xml,
91282CNC1,Note,9-Year 11-Month,2025-06-11,2025-06-16,2035-05-15,,A_20250605_1.pdf,,,A_20250605_1.xml,
91282CNH0,Note,3-Year,2025-06-10,2025-06-16,2028-06-15,99.728229,A_20250605_7.pdf,R_20250610_3.pdf,NCR_20250610_3.pdf,A_20250605_7.xml,R_20250610_3.xml
912797PF8,Bill,6-Week,2025-06-10,2025-06-12,2025-07-24,99.510583,A_20250605_3.pdf,R_20250610_1.pdf,NCR_20250610_2.pdf,A_20250605_3.xml,R_20250610_1.xml
912797QX8,Bill,52-Week,2025-06-10,2025-06-12,2026-06-11,96.016222,A_20250605_2.pdf,R_20250610_2.pdf,NCR_20250610_1.pdf,A_20250605_2.xml,R_20250610_2.xml
912797PW1,Bill,13-Week,2025-06-09,2025-06-12,2025-09-11,98.925694,A_20250605_6.pdf,R_20250609_1.pdf,NCR_20250609_1.pdf,A_20250605_6.xml,R_20250609_1.xml
912797QY6,Bill,26-Week,2025-06-09,2025-06-12,2025-12-11,97.901944,A_20250605_5.pdf,R_20250609_2.pdf,NCR_20250609_2.pdf,A_20250605_5.xml,R_20250609_2.xml
912797PZ4,Bill,4-Week,2025-06-05,2025-06-10,2025-07-08,99.675667,A_20250603_3.pdf,R_20250605_1.pdf,NCR_20250605_2.pdf,A_20250603_3.xml,R_20250605_1.xml
912797QH3,Bill,8-Week,2025-06-05,2025-06-10,2025-08-05,99.342778,A_20250603_1.pdf,R_20250605_2.pdf,NCR_20250605_1.pdf,A_20250603_1.xml,R_20250605_2.xml
912797RB5,Bill,17-Week,2025-06-04,2025-06-10,2025-10-07,98.610014,A_20250603_2.pdf,R_20250604_1.pdf,NCR_20250604_1.pdf,A_20250603_2.xml,R_20250604_1.xml
912797PE1,Bill,6-Week,2025-06-03,2025-06-05,2025-07-17,99.507083,A_20250529_2.pdf,R_20250603_1.pdf,NCR_20250603_1.pdf,A_20250529_2.xml,R_20250603_1.xml
912797MH7,Bill,13-Week,2025-06-02,2025-06-05,2025-09-04,98.925694,A_20250529_1.pdf,R_20250602_1.pdf,NCR_20250602_1.pdf,A_20250529_1.xml,R_20250602_1.xml
912797QS9,Bill,26-Week,2025-06-02,2025-06-05,2025-12-04,97.901944,A_20250529_3.pdf,R_20250602_2.pdf,NCR_20250602_2.pdf,A_20250529_3.xml,R_20250602_2.xml
912797PU5,Bill,4-Week,2025-05-29,2025-06-03,2025-07-01,99.672167,A_20250527_2.pdf,R_20250529_1.pdf,NCR_20250529_2.pdf,A_20250527_2.xml,R_20250529_1.xml
912797QC4,Bill,8-Week,2025-05-29,2025-06-03,2025-07-29,99.342778,A_20250527_3.pdf,R_20250529_2.pdf,NCR_20250529_1.pdf,A_20250527_3.xml,R_20250529_2.xml
91282CNF4,Note,7-Year,2025-05-29,2025-06-02,2032-05-31,99.58499,A_20250522_1.pdf,R_20250529_3.pdf,NCR_20250529_3.pdf,A_20250522_1.xml,R_20250529_3.xml
912797QW0,Bill,17-Week,2025-05-28,2025-06-03,2025-09-30,98.605056,A_20250527_1.pdf,R_20250528_1.pdf,NCR_20250528_2.pdf,A_20250527_1.xml,R_20250528_1.xml
91282CNG2,Note,5-Year,2025-05-28,2025-06-02,2030-05-31,99.681589,A_20250522_7.pdf,R_20250528_3.pdf,NCR_20250528_3.pdf,A_20250522_7.xml,R_20250528_3.xml
91282CMX6,FRN Note,1-Year 11-Month,2025-05-28,2025-05-30,2027-04-30,100.026794,A_20250522_3.pdf,R_20250528_2.pdf,NCR_20250528_1.pdf,A_20250522_3.xml,R_20250528_2.xml
91282CNE7,Note,2-Year,2025-05-27,2025-06-02,2027-05-31,99.847598,A_20250522_6.pdf,R_20250527_3.pdf,NCR_20250527_3.pdf,A_20250522_6.xml,R_20250527_3.xml
912797LW5,Bill,6-Week,2025-05-27,2025-05-29,2025-07-10,99.505917,A_20250522_2.pdf,R_20250527_4.pdf,NCR_20250527_4.pdf,A_20250522_2.xml,R_20250527_4.xml
912797PQ4,Bill,13-Week,2025-05-27,2025-05-29,2025-08-28,98.924431,A_20250522_5.pdf,R_20250527_1.pdf,NCR_20250527_2.pdf,A_20250522_5.xml,R_20250527_1.xml
912797NL7,Bill,26-Week,2025-05-27,2025-05-29,2025-11-28,97.885333,A_20250522_4.pdf,R_20250527_2.pdf,NCR_20250527_1.pdf,A_20250522_4.xml,R_20250527_2.xml
91282CML2,TIPS Note,9-Year 8-Month,2025-05-22,2025-05-30,2035-01-15,100.487511,A_20250515_1.pdf,R_20250522_3.pdf,NCR_20250522_3.pdf,A_20250515_1.xml,R_20250522_3.xml
912797PT8,Bill,4-Week,2025-05-22,2025-05-27,2025-06-24,99.671778,A_20250520_1.pdf,R_20250522_1.pdf,NCR_20250522_1.pdf,A_20250520_1.xml,R_20250522_1.xml
912797QB6,Bill,8-Week,2025-05-22,2025-05-27,2025-07-22,99.341222,A_20250520_3.pdf,R_20250522_2.pdf,NCR_20250522_2.pdf,A_20250520_3.xml,R_20250522_2.xml
912810UL0,Bond,20-Year,2025-05-21,2025-06-02,2045-05-15,99.407798,A_20250515_4.pdf,R_20250521_2.pdf,NCR_20250521_2.pdf,A_20250515_4.xml,R_20250521_2.xml
912797QV2,Bill,17-Week,2025-05-21,2025-05-27,2025-09-23,98.60175,A_20250520_2.pdf,R_20250521_1.pdf,NCR_20250521_1.pdf,A_20250520_2.xml,R_20250521_1.xml
912797NX1,Bill,6-Week,2025-05-20,2025-05-22,2025-07-03,99.505917,A_20250515_2.pdf,R_20250520_1.pdf,NCR_20250520_1.pdf,A_20250515_2.xml,R_20250520_1.xml
912797PP6,Bill,13-Week,2025-05-19,2025-05-22,2025-08-21,98.916847,A_20250515_3.pdf,R_20250519_1.pdf,NCR_20250519_2.pdf,A_20250515_3.xml,R_20250519_1.xml
912797QR1,Bill,26-Week,2025-05-19,2025-05-22,2025-11-20,97.907,A_20250515_5.pdf,R_20250519_2.pdf,NCR_20250519_1.pdf,A_20250515_5.xml,R_20250519_2.xml
