per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
1,2,1,0,1,0,75.7
2,2,1,0,1,0,79
3,2,1,0,1,0,119
4,2,1,0,1,0,127.9
5,2,1,0,1,0,120.8
6,2,1,0,1,0,120.9
7,2,1,0,1,0,112.3
8,2,1,0,1,0,106.4
9,2,1,0,1,0,102.5
10,2,1,0,1,0,94.6
11,2,1,0,1,0,75.8
12,2,1,0,1,0,73.5
1,2,1,0,2,0,11.4
2,2,1,0,2,0,13.2
3,2,1,0,2,0,22.4
4,2,1,0,2,0,23.4
5,2,1,0,2,0,23
6,2,1,0,2,0,24
7,2,1,0,2,0,20.6
8,2,1,0,2,0,18.4
9,2,1,0,2,0,19.9
10,2,1,0,2,0,19.1
11,2,1,0,2,0,14.2
12,2,1,0,2,0,12.8
1,2,1,0,3,0,11.8
2,2,1,0,3,0,12.7
3,2,1,0,3,0,25.9
4,2,1,0,3,0,34.7
5,2,1,0,3,0,30
6,2,1,0,3,0,33
7,2,1,0,3,0,30.8
8,2,1,0,3,0,26.5
9,2,1,0,3,0,27
10,2,1,0,3,0,23
11,2,1,0,3,0,16.8
12,2,1,0,3,0,13.5
1,2,1,0,4,0,26.8
2,2,1,0,4,0,29.4
3,2,1,0,4,0,34.8
4,2,1,0,4,0,36
5,2,1,0,4,0,32.3
6,2,1,0,4,0,31.7
7,2,1,0,4,0,32.7
8,2,1,0,4,0,30.4
9,2,1,0,4,0,29.6
10,2,1,0,4,0,25.4
11,2,1,0,4,0,23.4
12,2,1,0,4,0,23.3
1,2,1,0,5,0,25.6
2,2,1,0,5,0,23.8
3,2,1,0,5,0,35.8
4,2,1,0,5,0,33.8
5,2,1,0,5,0,35.4
6,2,1,0,5,0,32.2
7,2,1,0,5,0,28.2
8,2,1,0,5,0,31.2
9,2,1,0,5,0,25.9
10,2,1,0,5,0,27.1
11,2,1,0,5,0,21.5
12,2,1,0,5,0,23.9
1,2,2,0,1,0,55.7
2,2,2,0,1,0,59.9
3,2,2,0,1,0,91.3
4,2,2,0,1,0,99.7
5,2,2,0,1,0,93.5
6,2,2,0,1,0,94.9
7,2,2,0,1,0,90.2
8,2,2,0,1,0,85.4
9,2,2,0,1,0,80.3
10,2,2,0,1,0,74.4
11,2,2,0,1,0,57.8
12,2,2,0,1,0,55.1
1,2,3,0,1,0,14.8
2,2,3,0,1,0,13.9
3,2,3,0,1,0,19.3
4,2,3,0,1,0,20.2
5,2,3,0,1,0,19.7
6,2,3,0,1,0,18.2
7,2,3,0,1,0,15.8
8,2,3,0,1,0,15.2
9,2,3,0,1,0,16
10,2,3,0,1,0,13.7
11,2,3,0,1,0,12.6
12,2,3,0,1,0,13.5
1,4,1,0,1,1,1657
2,4,1,0,1,1,1667
3,4,1,0,1,1,1620
4,4,1,0,1,1,1590
5,4,1,0,1,1,1498
6,4,1,0,1,1,1503
7,4,1,0,1,1,1547
8,4,1,0,1,1,1430
9,4,1,0,1,1,1540
10,4,1,0,1,1,1355
11,4,1,0,1,1,1416
12,4,1,0,1,1,1601
1,4,1,0,2,1,350
2,4,1,0,2,1,346
3,4,1,0,2,1,330
4,4,1,0,2,1,275
5,4,1,0,2,1,260
6,4,1,0,2,1,254
7,4,1,0,2,1,271
8,4,1,0,2,1,230
9,4,1,0,2,1,242
10,4,1,0,2,1,254
11,4,1,0,2,1,246
12,4,1,0,2,1,256
1,4,1,0,3,1,452
2,4,1,0,3,1,469
3,4,1,0,3,1,413
4,4,1,0,3,1,391
5,4,1,0,3,1,355
6,4,1,0,3,1,343
7,4,1,0,3,1,371
8,4,1,0,3,1,350
9,4,1,0,3,1,362
10,4,1,0,3,1,305
11,4,1,0,3,1,326
12,4,1,0,3,1,395
1,4,1,0,4,1,505
2,4,1,0,4,1,508
3,4,1,0,4,1,503
4,4,1,0,4,1,536
5,4,1,0,4,1,487
6,4,1,0,4,1,518
7,4,1,0,4,1,533
8,4,1,0,4,1,474
9,4,1,0,4,1,560
10,4,1,0,4,1,443
11,4,1,0,4,1,500
12,4,1,0,4,1,592
1,4,1,0,5,1,350
2,4,1,0,5,1,344
3,4,1,0,5,1,374
4,4,1,0,5,1,388
5,4,1,0,5,1,396
6,4,1,0,5,1,388
7,4,1,0,5,1,372
8,4,1,0,5,1,376
9,4,1,0,5,1,376
10,4,1,0,5,1,353
11,4,1,0,5,1,344
12,4,1,0,5,1,358
1,4,2,0,1,1,1336
2,4,2,0,1,1,1317
3,4,2,0,1,1,1254
4,4,2,0,1,1,1282
5,4,2,0,1,1,1213
6,4,2,0,1,1,1203
7,4,2,0,1,1,1256
8,4,2,0,1,1,1193
9,4,2,0,1,1,1275
10,4,2,0,1,1,1043
11,4,2,0,1,1,1163
12,4,2,0,1,1,1410
1,5,1,0,1,0,96.2
2,5,1,0,1,0,99
3,5,1,0,1,0,127.7
4,5,1,0,1,0,150.8
5,5,1,0,1,0,152.5
6,5,1,0,1,0,147.8
7,5,1,0,1,0,148.1
8,5,1,0,1,0,138.2
9,5,1,0,1,0,136.4
10,5,1,0,1,0,120
11,5,1,0,1,0,104.7
12,5,1,0,1,0,95.6
1,5,1,0,2,0,15.4
