Category,OECD
1985-10-01 0:00:00,99.96008
1985-11-01 0:00:00,100.0052
1985-12-01 0:00:00,99.96054
1986-01-01 0:00:00,99.88689
1986-02-01 0:00:00,99.84046
1986-03-01 0:00:00,99.78836
1986-04-01 0:00:00,99.72799
1986-05-01 0:00:00,99.69321
1986-06-01 0:00:00,99.59648
1986-07-01 0:00:00,99.55765
1986-08-01 0:00:00,99.64216
1986-09-01 0:00:00,99.70163
1986-10-01 0:00:00,99.71259
1986-11-01 0:00:00,99.73513
1986-12-01 0:00:00,99.79166
1987-01-01 0:00:00,99.89647
1987-02-01 0:00:00,99.99483
1987-03-01 0:00:00,100.1472
1987-04-01 0:00:00,100.2955
1987-05-01 0:00:00,100.4405
1987-06-01 0:00:00,100.5671
1987-07-01 0:00:00,100.7204
1987-08-01 0:00:00,100.9235
1987-09-01 0:00:00,101.0949
1987-10-01 0:00:00,101.206
1987-11-01 0:00:00,101.2381
1987-12-01 0:00:00,101.2336
1988-01-01 0:00:00,101.1541
1988-02-01 0:00:00,101.083
1988-03-01 0:00:00,101.0701
1988-04-01 0:00:00,101.1636
1988-05-01 0:00:00,101.3197
1988-06-01 0:00:00,101.4886
1988-07-01 0:00:00,101.5551
1988-08-01 0:00:00,101.5527
1988-09-01 0:00:00,101.5635
1988-10-01 0:00:00,101.6199
1988-11-01 0:00:00,101.6438
1988-12-01 0:00:00,101.6175
1989-01-01 0:00:00,101.5177
1989-02-01 0:00:00,101.3832
1989-03-01 0:00:00,101.2236
1989-04-01 0:00:00,101.093
1989-05-01 0:00:00,100.9527
1989-06-01 0:00:00,100.8191
1989-07-01 0:00:00,100.7027
1989-08-01 0:00:00,100.6096
1989-09-01 0:00:00,100.5666
1989-10-01 0:00:00,100.5637
1989-11-01 0:00:00,100.5643
1989-12-01 0:00:00,100.5627
1990-01-01 0:00:00,100.5623
1990-02-01 0:00:00,100.5784
1990-03-01 0:00:00,100.5921
1990-04-01 0:00:00,100.5707
1990-05-01 0:00:00,100.4895
1990-06-01 0:00:00,100.3565
1990-07-01 0:00:00,100.1653
1990-08-01 0:00:00,99.965
1990-09-01 0:00:00,99.75605
1990-10-01 0:00:00,99.53378
1990-11-01 0:00:00,99.29758
1990-12-01 0:00:00,99.05657
1991-01-01 0:00:00,98.80704
1991-02-01 0:00:00,98.64356
1991-03-01 0:00:00,98.6615
1991-04-01 0:00:00,98.82533
1991-05-01 0:00:00,99.05302
1991-06-01 0:00:00,99.34401
1991-07-01 0:00:00,99.57659
1991-08-01 0:00:00,99.7475
1991-09-01 0:00:00,99.78796
1991-10-01 0:00:00,99.65915
1991-11-01 0:00:00,99.42512
1991-12-01 0:00:00,99.22567
1992-01-01 0:00:00,99.2066
1992-02-01 0:00:00,99.3576
1992-03-01 0:00:00,99.51421
1992-04-01 0:00:00,99.60251
1992-05-01 0:00:00,99.6515
1992-06-01 0:00:00,99.5489
1992-07-01 0:00:00,99.35252
1992-08-01 0:00:00,99.0975
1992-09-01 0:00:00,98.8336
1992-10-01 0:00:00,98.66299
1992-11-01 0:00:00,98.58997
1992-12-01 0:00:00,98.56808
1993-01-01 0:00:00,98.56308
1993-02-01 0:00:00,98.53822
1993-03-01 0:00:00,98.48645
1993-04-01 0:00:00,98.42623
1993-05-01 0:00:00,98.40334
1993-06-01 0:00:00,98.37138
1993-07-01 0:00:00,98.38935
1993-08-01 0:00:00,98.50631
1993-09-01 0:00:00,98.71007
1993-10-01 0:00:00,98.94608
1993-11-01 0:00:00,99.14534
1993-12-01 0:00:00,99.28458
1994-01-01 0:00:00,99.4004
1994-02-01 0:00:00,99.52057
1994-03-01 0:00:00,99.69077
1994-04-01 0:00:00,99.89942
1994-05-01 0:00:00,100.1219
1994-06-01 0:00:00,100.3499
1994-07-01 0:00:00,100.5764
1994-08-01 0:00:00,100.7993
1994-09-01 0:00:00,100.9799
1994-10-01 0:00:00,101.0895
1994-11-01 0:00:00,101.1184
1994-12-01 0:00:00,101.0874
1995-01-01 0:00:00,101.0234
1995-02-01 0:00:00,100.8735
1995-03-01 0:00:00,100.6352
1995-04-01 0:00:00,100.3638
1995-05-01 0:00:00,100.087
1995-06-01 0:00:00,99.91907
1995-07-01 0:00:00,99.87743
1995-08-01 0:00:00,99.78821
1995-09-01 0:00:00,99.67209
1995-10-01 0:00:00,99.50972
1995-11-01 0:00:00,99.33235
