Feature,Importance
Enclosure_EROPS w AC,0.3358682953646088
fiSecondaryDesc_freq,0.0855543462803411
fiModelDescriptor_freq,0.045706943696343864
ProductSize_Large / Medium,0.03824377865043738
ProductSize_Medium,0.03786371180055631
ProductGroup_SSL,0.029335236901446852
ProductGroupDesc_Skid Steer Loaders,0.02789219709047451
fiSecondaryDesc_H,0.02502249568860109
ProductSize_Large,0.021370560588315112
fiSecondaryDesc_G,0.02089101525330374
sale_year,0.02075015322599771
ProductGroup_SSL,0.018462571262752643
ProductGroup_MG,0.01789983607196486
ProductGroupDesc_Motor Graders,0.017342157318766108
ProductGroup_MG,0.01414065037347651
SalesID,0.01397341413999526
hours_per_year,0.01327730287157264
fiModelDescriptor_L,0.012810591856507694
fiSecondaryDesc_N,0.011677597004189197
ProductGroupDesc_Backhoe Loaders,0.011585954327470732
ProductGroup_BL,0.01093684216338015
fiSecondaryDesc_R,0.010493018335899695
ProductSize_Mini,0.010464971313619297
Estimated_Hours_log,0.009665576955879239
ProductGroup_BL,0.009534374947953488
UnemploymentRate,0.008926092471941375
fiProductClassDesc_Motorgrader - 170.0 to 200.0 Horsepower,0.008027140119927856
fiModelSeries_freq,0.00770817468794328
MachineID,0.006171918803867724
Estimated_Hours,0.005906786208949234
fiModelDesc_980C,0.004566065778031372
ProductSize_Small,0.004161762294127663
fiProductClassDesc_Motorgrader - 45.0 to 130.0 Horsepower,0.0038480782318719335
Drive_System_Two Wheel Drive,0.0035735849182780034
fiSecondaryDesc_D,0.003383778806072074
fiModelDesc_D6D,0.0032553850431966103
fiSecondaryDesc_C,0.003093858164508235
fiSecondaryDesc_B,0.0030291056091017858
rolling_median_hours_model_5,0.0030258506812551617
fiModelDesc_950B,0.0029120879576292925
fiModelDesc_D7H,0.002665852139326016
fiSecondaryDesc_J,0.0024160831893392984
growth_index,0.0022019376774874656
fiModelDesc_12HNA,0.002182969045725161
demand_pressure_index,0.0020224652386802685
fiModelDesc_988B,0.001535361991600312
"fiProductClassDesc_Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",0.001410964027323304
fiProductClassDesc_Wheel Loader - 120.0 to 135.0 Horsepower,0.001311136696965533
fiModelDesc_D8N,0.0011992702535288315
fiModelDescriptor_7,0.0011456391700242611
fiSecondaryDesc_E,0.0011188159602880715
Ripper_Yes,0.0010943556781770195
fiModelSeries_II,0.0010883788331294533
Forks_None or Unspecified,0.000956424256937213
fiBaseModel_772,0.0008160360801097092
fiModelSeries_6,0.000798751833123584
fiBaseModel_ZX350,0.0007572506216344815
Steering_Controls_Conventional,0.0007019750560465421
fiBaseModel_BD2,0.0006318376312318664
fiModelSeries_-1,0.000622705061786594
fiBaseModel_245,0.0006160007522881585
DCOILWTICO,0.0005825162155455076
fiSecondaryDesc_K,0.0005758440974518165
"fiProductClassDesc_Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",0.0005555036646616484
Ride_Control_Yes,0.0005537899193070918
OECD,0.0005465280018319517
